date,country,D,H,I,M,S
2021-10-26,Afghanistan,1,0,0,36,0
2021-10-26,Japan,3,0,0,118,0
2021-10-26,Sweden,1,0,0,8,0
2021-10-27,Afghanistan,1,0,0,36,0
2021-10-27,Japan,3,0,0,118,0
2021-10-27,Sweden,1,0,0,8,0
2021-10-28,Afghanistan,1,0,0,36,0
2021-10-28,Japan,3,0,0,118,0
2021-10-28,Sweden,1,0,0,8,0
2021-10-29,Afghanistan,1,0,0,36,0
2021-10-29,Japan,3,0,0,118,0
2021-10-29,Sweden,1,0,0,8,0
2021-10-30,Afghanistan,1,0,0,36,0
2021-10-30,Japan,3,0,0,118,0
2021-10-30,Sweden,1,0,0,8,0
2021-10-31,Afghanistan,1,0,0,36,0
2021-10-31,Japan,3,0,0,118,0
2021-10-31,Sweden,1,0,0,8,0
2021-11-01,Afghanistan,1,0,0,36,0
2021-11-01,Japan,3,0,0,118,0
2021-11-01,Sweden,1,0,0,8,0
2021-11-02,Afghanistan,1,0,0,36,0
2021-11-02,Japan,3,0,0,118,0
2021-11-02,Sweden,1,0,0,8,0
2021-11-03,Afghanistan,1,0,0,36,0
2021-11-03,Japan,3,0,0,118,0
2021-11-03,Sweden,1,0,0,8,0
2021-11-04,Afghanistan,1,0,0,36,0
2021-11-04,Japan,3,0,0,118,0
2021-11-04,Sweden,1,0,0,8,0
2021-11-05,Afghanistan,1,0,0,36,0
2021-11-05,Japan,3,0,0,118,0
2021-11-05,Sweden,1,0,0,8,0
2021-11-06,Afghanistan,1,0,0,36,0
2021-11-06,Japan,3,0,0,118,0
2021-11-06,Sweden,1,0,0,8,0
2021-11-07,Afghanistan,1,0,0,36,0
2021-11-07,Japan,3,0,0,118,0
2021-11-07,Sweden,1,0,0,8,0
2021-11-08,Afghanistan,1,0,0,36,0
2021-11-08,Japan,3,0,0,118,0
2021-11-08,Sweden,1,0,0,8,0
2021-11-09,Afghanistan,1,0,0,36,0
2021-11-09,Japan,3,0,0,118,0
2021-11-09,Sweden,1,0,0,8,0
2021-11-10,Afghanistan,1,0,0,36,0
2021-11-10,Japan,3,0,0,118,0
2021-11-10,Sweden,1,0,0,8,0
2021-11-11,Afghanistan,1,0,0,36,0
2021-11-11,Japan,3,0,0,118,0
2021-11-11,Sweden,1,0,0,8,0
2021-11-12,Afghanistan,1,0,0,36,0
2021-11-12,Japan,3,0,0,118,0
2021-11-12,Sweden,1,0,0,8,0
2021-11-13,Afghanistan,1,0,0,36,0
2021-11-13,Japan,3,0,0,118,0
2021-11-13,Sweden,1,0,0,8,0
2021-11-14,Afghanistan,1,0,0,36,0
2021-11-14,Japan,3,0,0,118,0
2021-11-14,Sweden,1,0,0,8,0
2021-11-15,Afghanistan,1,0,0,36,0
2021-11-15,Japan,3,0,0,118,0
2021-11-15,Sweden,1,0,0,8,0
2021-11-16,Afghanistan,1,0,0,36,0
2021-11-16,Japan,3,0,0,118,0
2021-11-16,Sweden,1,0,0,8,0
2021-11-17,Afghanistan,1,0,0,36,0
2021-11-17,Japan,3,0,0,118,0
2021-11-17,Sweden,1,0,0,8,0
2021-11-18,Afghanistan,1,0,0,36,0
2021-11-18,Japan,3,0,0,118,0
2021-11-18,Sweden,1,0,0,8,0
2021-11-19,Afghanistan,1,0,0,36,0
2021-11-19,Japan,3,0,0,118,0
2021-11-19,Sweden,1,0,0,8,0
2021-11-20,Afghanistan,1,0,0,36,0
2021-11-20,Japan,3,0,0,118,0
2021-11-20,Sweden,1,0,0,8,0
2021-11-21,Afghanistan,1,0,0,36,0
2021-11-21,Japan,3,0,0,118,0
2021-11-21,Sweden,1,0,0,8,0
2021-11-22,Afghanistan,1,0,0,36,0
2021-11-22,Japan,3,0,0,118,0
2021-11-22,Sweden,1,0,0,8,0
2021-11-23,Afghanistan,1,0,0,36,0
2021-11-23,Japan,3,0,0,118,0
2021-11-23,Sweden,1,0,0,8,0
2021-11-24,Afghanistan,1,0,0,36,0
2021-11-24,Japan,3,0,0,118,0
2021-11-24,Sweden,1,0,0,8,0
2021-11-25,Afghanistan,1,0,0,36,0
2021-11-25,Japan,3,0,0,118,0
2021-11-25,Sweden,1,0,0,8,0
2021-11-26,Afghanistan,1,0,0,36,0
2021-11-26,Japan,3,0,0,118,0
2021-11-26,Sweden,1,0,0,8,0
2021-11-27,Afghanistan,1,0,0,36,0
2021-11-27,Japan,3,0,0,118,0
2021-11-27,Sweden,1,0,0,8,0
2021-11-28,Afghanistan,1,0,0,36,0
2021-11-28,Japan,3,0,0,118,0
2021-11-28,Sweden,1,0,0,8,0
2021-11-29,Afghanistan,1,0,0,36,0
2021-11-29,Japan,3,0,0,118,0
2021-11-29,Sweden,1,0,0,8,0
2021-11-30,Afghanistan,1,0,0,36,0
2021-11-30,Japan,3,0,0,118,0
2021-11-30,Sweden,1,0,0,8,0
2021-12-01,Afghanistan,1,0,0,36,0
2021-12-01,Japan,3,0,0,118,0
2021-12-01,Sweden,1,0,0,8,0
2021-12-02,Afghanistan,1,0,0,36,0
2021-12-02,Japan,3,0,0,118,0
2021-12-02,Sweden,1,0,0,8,0
2021-12-03,Afghanistan,1,0,0,36,0
2021-12-03,Japan,3,0,0,118,0
2021-12-03,Sweden,1,0,0,8,0
2021-12-04,Afghanistan,1,0,0,36,0
2021-12-04,Japan,3,0,0,118,0
2021-12-04,Sweden,1,0,0,8,0
2021-12-05,Afghanistan,1,0,0,36,0
2021-12-05,Japan,3,0,0,118,0
2021-12-05,Sweden,1,0,0,8,0
2021-12-06,Afghanistan,1,0,0,36,0
2021-12-06,Japan,3,0,0,118,0
2021-12-06,Sweden,1,0,0,8,0
2021-12-07,Afghanistan,1,0,0,36,0
2021-12-07,Japan,3,0,0,118,0
2021-12-07,Sweden,1,0,0,8,0
2021-12-08,Afghanistan,1,2,0,34,0
2021-12-08,Japan,3,3,0,115,0
2021-12-08,Sweden,1,0,0,8,0
2021-12-09,Afghanistan,1,3,0,33,0
2021-12-09,Japan,3,6,0,112,0
2021-12-09,Sweden,1,0,0,8,0
2021-12-10,Afghanistan,1,5,0,31,0
2021-12-10,Japan,3,14,0,104,0
2021-12-10,Sweden,1,0,0,8,0
2021-12-11,Afghanistan,1,4,1,31,0
2021-12-11,Japan,3,16,1,101,0
2021-12-11,Sweden,1,1,0,7,0
2021-12-12,Afghanistan,1,2,3,31,0
2021-12-12,Japan,3,10,7,101,0
2021-12-12,Sweden,1,3,0,5,0
2021-12-13,Afghanistan,1,1,4,31,0
2021-12-13,Japan,3,7,11,100,0
2021-12-13,Sweden,1,3,0,5,0
2021-12-14,Afghanistan,1,0,5,31,0
2021-12-14,Japan,3,6,13,99,0
2021-12-14,Sweden,1,2,1,5,0
2021-12-15,Afghanistan,1,2,4,30,0
2021-12-15,Japan,3,6,14,97,1
2021-12-15,Sweden,1,3,1,4,0
2021-12-16,Afghanistan,1,2,2,31,1
2021-12-16,Japan,3,8,8,99,3
2021-12-16,Sweden,1,2,2,4,0
2021-12-17,Afghanistan,1,2,1,31,2
2021-12-17,Japan,3,7,7,98,6
2021-12-17,Sweden,1,2,2,4,0
2021-12-18,Afghanistan,1,2,0,31,3
2021-12-18,Japan,3,6,7,97,8
2021-12-18,Sweden,1,0,3,5,0
2021-12-19,Afghanistan,1,1,1,31,3
2021-12-19,Japan,3,7,6,97,8
2021-12-19,Sweden,1,0,3,5,0
2021-12-20,Afghanistan,1,1,1,31,3
2021-12-20,Japan,3,5,9,96,8
2021-12-20,Sweden,1,0,2,6,0
2021-12-21,Afghanistan,1,1,1,31,3
2021-12-21,Japan,3,5,6,97,10
2021-12-21,Sweden,1,0,2,6,0
2021-12-22,Afghanistan,1,2,1,30,3
2021-12-22,Japan,3,8,5,94,11
2021-12-22,Sweden,1,0,0,7,1
2021-12-23,Afghanistan,1,4,0,28,4
2021-12-23,Japan,3,13,4,89,12
2021-12-23,Sweden,1,1,0,6,1
2021-12-24,Afghanistan,1,4,1,27,4
2021-12-24,Japan,3,16,4,84,14
2021-12-24,Sweden,1,1,0,6,1
2021-12-25,Afghanistan,1,3,3,26,4
2021-12-25,Japan,3,22,10,72,14
2021-12-25,Sweden,1,1,0,6,1
2021-12-26,Afghanistan,1,6,3,23,4
2021-12-26,Japan,3,24,12,67,15
2021-12-26,Sweden,1,1,0,6,1
2021-12-27,Afghanistan,1,5,6,21,4
2021-12-27,Japan,3,20,19,64,15
2021-12-27,Sweden,1,1,1,5,1
2021-12-28,Afghanistan,1,5,5,22,4
2021-12-28,Japan,3,20,20,62,16
2021-12-28,Sweden,1,1,1,5,1
2021-12-29,Afghanistan,1,4,4,23,5
2021-12-29,Japan,3,19,18,63,18
2021-12-29,Sweden,1,0,2,5,1
2021-12-30,Afghanistan,1,4,4,24,4
2021-12-30,Japan,3,17,19,66,16
2021-12-30,Sweden,1,0,2,5,1
2021-12-31,Afghanistan,1,4,1,26,5
2021-12-31,Japan,3,17,13,70,18
2021-12-31,Sweden,1,1,1,4,2
2022-01-01,Afghanistan,1,4,3,25,4
2022-01-01,Japan,3,10,16,74,18
2022-01-01,Sweden,1,1,1,4,2
2022-01-02,Afghanistan,1,4,3,24,5
2022-01-02,Japan,3,7,15,76,20
2022-01-02,Sweden,1,0,1,4,3
2022-01-03,Afghanistan,1,4,4,23,5
2022-01-03,Japan,3,6,13,77,22
2022-01-03,Sweden,1,0,1,4,3
2022-01-04,Afghanistan,1,5,4,22,5
2022-01-04,Japan,3,9,12,77,20
2022-01-04,Sweden,1,1,1,3,3
2022-01-05,Afghanistan,1,6,2,22,6
2022-01-05,Japan,4,10,6,79,22
2022-01-05,Sweden,1,1,1,4,2
2022-01-06,Afghanistan,1,10,1,19,6
2022-01-06,Japan,3,8,6,81,23
2022-01-06,Sweden,1,1,0,5,2
2022-01-07,Afghanistan,1,9,1,20,6
2022-01-07,Japan,5,12,5,77,22
2022-01-07,Sweden,1,1,0,5,2
2022-01-08,Afghanistan,1,7,3,20,6
2022-01-08,Japan,4,17,5,73,22
2022-01-08,Sweden,1,1,0,5,2
2022-01-09,Afghanistan,1,7,4,19,6
2022-01-09,Japan,5,21,5,68,22
2022-01-09,Sweden,1,1,0,5,2
2022-01-10,Afghanistan,1,7,4,19,6
2022-01-10,Japan,4,25,4,65,23
2022-01-10,Sweden,1,1,0,5,2
2022-01-11,Afghanistan,1,6,4,20,6
2022-01-11,Japan,4,23,6,65,23
2022-01-11,Sweden,1,1,0,5,2
2022-01-12,Afghanistan,2,4,4,21,6
2022-01-12,Japan,6,18,13,64,20
2022-01-12,Sweden,1,0,1,5,2
2022-01-13,Afghanistan,2,5,3,21,6
2022-01-13,Japan,5,14,17,65,20
2022-01-13,Sweden,1,0,1,5,2
2022-01-14,Afghanistan,2,5,3,23,4
2022-01-14,Japan,6,10,20,69,16
2022-01-14,Sweden,1,0,1,6,1
2022-01-15,Afghanistan,2,5,2,23,5
2022-01-15,Japan,5,10,18,72,16
2022-01-15,Sweden,1,0,1,6,1
2022-01-16,Afghanistan,2,3,2,26,4
2022-01-16,Japan,6,10,13,74,18
2022-01-16,Sweden,2,0,0,7,0
2022-01-17,Afghanistan,2,3,3,25,4
2022-01-17,Japan,5,11,11,75,19
2022-01-17,Sweden,1,0,0,8,0
2022-01-18,Afghanistan,2,3,3,25,4
2022-01-18,Japan,5,11,7,77,21
2022-01-18,Sweden,1,0,0,8,0
2022-01-19,Afghanistan,2,4,3,25,3
2022-01-19,Japan,6,9,8,79,19
2022-01-19,Sweden,1,0,0,8,0
2022-01-20,Afghanistan,2,5,1,25,4
2022-01-20,Japan,5,10,6,83,17
2022-01-20,Sweden,1,0,0,8,0
2022-01-21,Afghanistan,2,6,0,25,4
2022-01-21,Japan,6,9,4,85,17
2022-01-21,Sweden,1,0,0,8,0
2022-01-22,Afghanistan,2,6,0,25,4
2022-01-22,Japan,5,8,4,86,18
2022-01-22,Sweden,1,0,0,8,0
2022-01-23,Afghanistan,2,6,0,25,4
2022-01-23,Japan,5,5,5,88,18
2022-01-23,Sweden,1,0,0,8,0
2022-01-24,Afghanistan,2,6,1,24,4
2022-01-24,Japan,5,4,6,89,17
2022-01-24,Sweden,1,0,0,8,0
2022-01-25,Afghanistan,2,6,1,24,4
2022-01-25,Japan,5,2,7,90,17
2022-01-25,Sweden,1,0,0,8,0
2022-01-26,Afghanistan,2,4,3,25,3
2022-01-26,Japan,5,1,7,91,17
2022-01-26,Sweden,1,0,0,8,0
2022-01-27,Afghanistan,2,4,3,25,3
2022-01-27,Japan,5,1,4,92,19
2022-01-27,Sweden,1,0,0,8,0
2022-01-28,Afghanistan,2,3,3,25,4
2022-01-28,Japan,6,0,4,93,18
2022-01-28,Sweden,1,0,0,8,0
2022-01-29,Afghanistan,2,3,4,25,3
2022-01-29,Japan,5,0,2,96,18
2022-01-29,Sweden,1,0,0,8,0
2022-01-30,Afghanistan,2,3,2,26,4
2022-01-30,Japan,6,0,1,100,14
2022-01-30,Sweden,1,0,0,8,0
2022-01-31,Afghanistan,2,3,2,26,4
2022-01-31,Japan,7,0,1,102,11
2022-01-31,Sweden,1,0,0,8,0
2022-02-01,Afghanistan,2,3,1,26,5
2022-02-01,Japan,7,0,0,104,10
2022-02-01,Sweden,1,0,0,8,0
2022-02-02,Afghanistan,2,4,0,25,6
2022-02-02,Japan,6,0,0,106,9
2022-02-02,Sweden,1,0,0,8,0
2022-02-03,Afghanistan,2,4,0,27,4
2022-02-03,Japan,6,0,0,106,9
2022-02-03,Sweden,1,0,0,8,0
2022-02-04,Afghanistan,2,4,0,27,4
2022-02-04,Japan,6,0,0,107,8
2022-02-04,Sweden,1,0,0,8,0
2022-02-05,Afghanistan,2,3,1,27,4
2022-02-05,Japan,6,0,0,108,7
2022-02-05,Sweden,1,0,0,8,0
2022-02-06,Afghanistan,2,3,1,27,4
2022-02-06,Japan,6,1,0,108,6
2022-02-06,Sweden,1,0,0,8,0
2022-02-07,Afghanistan,2,3,1,27,4
2022-02-07,Japan,6,1,0,108,6
2022-02-07,Sweden,1,0,0,8,0
2022-02-08,Afghanistan,2,2,2,27,4
2022-02-08,Japan,6,1,0,109,5
2022-02-08,Sweden,1,0,0,8,0
2022-02-09,Afghanistan,2,2,1,27,5
2022-02-09,Japan,6,1,0,109,5
2022-02-09,Sweden,1,0,0,8,0
2022-02-10,Afghanistan,2,2,1,27,5
2022-02-10,Japan,6,1,0,111,3
2022-02-10,Sweden,1,0,0,8,0
2022-02-11,Afghanistan,2,2,1,28,4
2022-02-11,Japan,6,1,0,111,3
2022-02-11,Sweden,1,0,0,8,0
2022-02-12,Afghanistan,2,2,0,28,5
2022-02-12,Japan,6,1,0,113,1
2022-02-12,Sweden,1,0,0,8,0
2022-02-13,Afghanistan,2,2,0,29,4
2022-02-13,Japan,6,0,1,113,1
2022-02-13,Sweden,1,0,0,8,0
2022-02-14,Afghanistan,2,2,0,29,4
2022-02-14,Japan,6,0,1,113,1
2022-02-14,Sweden,1,0,0,8,0
2022-02-15,Afghanistan,2,1,1,30,3
2022-02-15,Japan,6,0,1,114,0
2022-02-15,Sweden,1,0,0,8,0
2022-02-16,Afghanistan,2,1,1,31,2
2022-02-16,Japan,6,0,1,114,0
2022-02-16,Sweden,1,0,0,8,0
2022-02-17,Afghanistan,2,1,1,31,2
2022-02-17,Japan,6,0,0,114,1
2022-02-17,Sweden,1,0,0,8,0
2022-02-18,Afghanistan,2,1,1,31,2
2022-02-18,Japan,6,0,0,114,1
2022-02-18,Sweden,1,0,0,8,0
2022-02-19,Afghanistan,2,1,0,31,3
2022-02-19,Japan,6,0,0,114,1
2022-02-19,Sweden,1,0,0,8,0
2022-02-20,Afghanistan,2,1,0,31,3
2022-02-20,Japan,6,0,0,114,1
2022-02-20,Sweden,1,0,0,8,0
2022-02-21,Afghanistan,2,1,0,31,3
2022-02-21,Japan,6,0,0,114,1
2022-02-21,Sweden,1,0,0,8,0
2022-02-22,Afghanistan,2,1,0,31,3
2022-02-22,Japan,6,1,0,113,1
2022-02-22,Sweden,1,0,0,8,0
2022-02-23,Afghanistan,2,1,0,32,2
2022-02-23,Japan,6,1,0,113,1
2022-02-23,Sweden,1,0,0,8,0
2022-02-24,Afghanistan,2,0,1,32,2
2022-02-24,Japan,6,1,0,113,1
2022-02-24,Sweden,1,0,0,8,0
2022-02-25,Afghanistan,2,0,1,32,2
2022-02-25,Japan,6,1,0,113,1
2022-02-25,Sweden,1,0,0,8,0
2022-02-26,Afghanistan,2,0,1,33,1
2022-02-26,Japan,6,1,0,113,1
2022-02-26,Sweden,1,0,0,8,0
2022-02-27,Afghanistan,2,0,1,33,1
2022-02-27,Japan,6,1,0,113,1
2022-02-27,Sweden,1,0,0,8,0
2022-02-28,Afghanistan,2,0,0,34,1
2022-02-28,Japan,6,1,0,113,1
2022-02-28,Sweden,1,0,0,8,0
2022-03-01,Afghanistan,2,0,0,34,1
2022-03-01,Japan,6,1,0,113,1
2022-03-01,Sweden,1,0,0,8,0
2022-03-02,Afghanistan,2,0,0,34,1
2022-03-02,Japan,6,1,0,113,1
2022-03-02,Sweden,1,0,0,8,0
2022-03-03,Afghanistan,2,0,0,34,1
2022-03-03,Japan,6,1,0,114,0
2022-03-03,Sweden,1,0,0,8,0
2022-03-04,Afghanistan,2,0,0,34,1
2022-03-04,Japan,6,1,0,114,0
2022-03-04,Sweden,1,0,0,8,0
2022-03-05,Afghanistan,2,0,0,35,0
2022-03-05,Japan,6,1,0,114,0
2022-03-05,Sweden,1,0,0,8,0
2022-03-06,Afghanistan,2,0,0,35,0
2022-03-06,Japan,6,1,0,114,0
2022-03-06,Sweden,1,0,0,8,0
2022-03-07,Afghanistan,2,0,0,35,0
2022-03-07,Japan,6,1,0,114,0
2022-03-07,Sweden,1,0,0,8,0
2022-03-08,Afghanistan,2,0,0,35,0
2022-03-08,Japan,6,1,0,114,0
2022-03-08,Sweden,1,0,0,8,0
2022-03-09,Afghanistan,2,0,0,35,0
2022-03-09,Japan,6,1,0,114,0
2022-03-09,Sweden,1,0,0,8,0
2022-03-10,Afghanistan,2,0,0,35,0
2022-03-10,Japan,6,1,0,114,0
2022-03-10,Sweden,1,0,0,8,0
2022-03-11,Afghanistan,2,0,0,35,0
2022-03-11,Japan,6,1,0,114,0
2022-03-11,Sweden,1,0,0,8,0
2022-03-12,Afghanistan,2,0,0,35,0
2022-03-12,Japan,6,0,1,114,0
2022-03-12,Sweden,1,0,0,8,0
2022-03-13,Afghanistan,2,0,0,35,0
2022-03-13,Japan,6,0,1,114,0
2022-03-13,Sweden,1,0,0,8,0
2022-03-14,Afghanistan,2,0,0,35,0
2022-03-14,Japan,6,0,1,114,0
2022-03-14,Sweden,1,0,0,8,0
2022-03-15,Afghanistan,2,0,0,35,0
2022-03-15,Japan,6,0,1,114,0
2022-03-15,Sweden,1,0,0,8,0
2022-03-16,Afghanistan,2,0,0,35,0
2022-03-16,Japan,6,0,0,114,1
2022-03-16,Sweden,1,0,0,8,0
2022-03-17,Afghanistan,2,0,0,35,0
2022-03-17,Japan,6,0,0,114,1
2022-03-17,Sweden,1,0,0,8,0
2022-03-18,Afghanistan,2,0,0,35,0
2022-03-18,Japan,6,0,0,114,1
2022-03-18,Sweden,1,0,0,8,0
2022-03-19,Afghanistan,2,0,0,35,0
2022-03-19,Japan,6,0,0,114,1
2022-03-19,Sweden,1,0,0,8,0
2022-03-20,Afghanistan,2,0,0,35,0
2022-03-20,Japan,6,0,0,114,1
2022-03-20,Sweden,1,0,0,8,0
2022-03-21,Afghanistan,2,0,0,35,0
2022-03-21,Japan,6,0,0,114,1
2022-03-21,Sweden,1,0,0,8,0
2022-03-22,Afghanistan,2,0,0,35,0
2022-03-22,Japan,6,0,0,114,1
2022-03-22,Sweden,1,0,0,8,0
2022-03-23,Afghanistan,2,0,0,35,0
2022-03-23,Japan,6,0,0,114,1
2022-03-23,Sweden,1,0,0,8,0
2022-03-24,Afghanistan,2,0,0,35,0
2022-03-24,Japan,6,0,0,114,1
2022-03-24,Sweden,1,0,0,8,0
2022-03-25,Afghanistan,2,0,0,35,0
2022-03-25,Japan,6,0,0,114,1
2022-03-25,Sweden,1,0,0,8,0
2022-03-26,Afghanistan,2,0,0,35,0
2022-03-26,Japan,6,0,0,114,1
2022-03-26,Sweden,1,0,0,8,0
2022-03-27,Afghanistan,2,0,0,35,0
2022-03-27,Japan,6,0,0,114,1
2022-03-27,Sweden,1,0,0,8,0
2022-03-28,Afghanistan,2,0,0,35,0
2022-03-28,Japan,6,0,0,114,1
2022-03-28,Sweden,1,0,0,8,0
2022-03-29,Afghanistan,2,0,0,35,0
2022-03-29,Japan,6,0,0,114,1
2022-03-29,Sweden,1,0,0,8,0
2022-03-30,Afghanistan,2,0,0,35,0
2022-03-30,Japan,6,0,0,115,0
2022-03-30,Sweden,1,0,0,8,0
2022-03-31,Afghanistan,2,0,0,35,0
2022-03-31,Japan,6,0,0,115,0
2022-03-31,Sweden,1,0,0,8,0
2022-04-01,Afghanistan,2,0,0,35,0
2022-04-01,Japan,6,0,0,115,0
2022-04-01,Sweden,1,0,0,8,0
2022-04-02,Afghanistan,2,0,0,35,0
2022-04-02,Japan,6,0,0,115,0
2022-04-02,Sweden,1,0,0,8,0
2022-04-03,Afghanistan,2,0,0,35,0
2022-04-03,Japan,6,0,0,115,0
2022-04-03,Sweden,1,0,0,8,0
2022-04-04,Afghanistan,2,0,0,35,0
2022-04-04,Japan,6,0,0,115,0
2022-04-04,Sweden,1,0,0,8,0
2022-04-05,Afghanistan,2,0,0,35,0
2022-04-05,Japan,6,0,0,115,0
2022-04-05,Sweden,1,0,0,8,0
2022-04-06,Afghanistan,2,0,0,35,0
2022-04-06,Japan,6,0,0,115,0
2022-04-06,Sweden,1,0,0,8,0
2022-04-07,Afghanistan,2,0,0,35,0
2022-04-07,Japan,6,0,0,115,0
2022-04-07,Sweden,1,0,0,8,0
2022-04-08,Afghanistan,2,0,0,35,0
2022-04-08,Japan,6,0,0,115,0
2022-04-08,Sweden,1,0,0,8,0
2022-04-09,Afghanistan,2,0,0,35,0
2022-04-09,Japan,6,0,0,115,0
2022-04-09,Sweden,1,0,0,8,0
2022-04-10,Afghanistan,2,0,0,35,0
2022-04-10,Japan,6,0,0,115,0
2022-04-10,Sweden,1,0,0,8,0
2022-04-11,Afghanistan,2,0,0,35,0
2022-04-11,Japan,6,0,0,115,0
2022-04-11,Sweden,1,0,0,8,0
2022-04-12,Afghanistan,2,0,0,35,0
2022-04-12,Japan,6,0,0,115,0
2022-04-12,Sweden,1,0,0,8,0
2022-04-13,Afghanistan,2,0,0,35,0
2022-04-13,Japan,6,0,0,115,0
2022-04-13,Sweden,1,0,0,8,0
2022-04-14,Afghanistan,2,1,0,34,0
2022-04-14,Japan,6,0,0,115,0
2022-04-14,Sweden,1,0,0,8,0
2022-04-15,Afghanistan,2,2,0,33,0
2022-04-15,Japan,6,4,0,111,0
2022-04-15,Sweden,1,0,0,8,0
2022-04-16,Afghanistan,2,2,0,33,0
2022-04-16,Japan,6,5,0,110,0
2022-04-16,Sweden,1,0,0,8,0
2022-04-17,Afghanistan,2,2,0,33,0
2022-04-17,Japan,6,3,2,110,0
2022-04-17,Sweden,1,1,0,7,0
2022-04-18,Afghanistan,2,1,1,33,0
2022-04-18,Japan,6,4,3,108,0
2022-04-18,Sweden,1,1,0,7,0
2022-04-19,Afghanistan,2,1,1,33,0
2022-04-19,Japan,6,2,5,108,0
2022-04-19,Sweden,1,2,0,6,0
2022-04-20,Afghanistan,2,0,2,33,0
2022-04-20,Japan,6,2,6,107,0
2022-04-20,Sweden,1,1,1,6,0
2022-04-21,Afghanistan,2,0,2,33,0
2022-04-21,Japan,6,3,4,107,1
2022-04-21,Sweden,1,2,1,5,0
2022-04-22,Afghanistan,2,0,1,33,1
2022-04-22,Japan,6,3,3,108,1
2022-04-22,Sweden,1,2,1,5,0
2022-04-23,Afghanistan,2,0,1,33,1
2022-04-23,Japan,6,2,3,108,2
2022-04-23,Sweden,1,2,1,5,0
2022-04-24,Afghanistan,2,0,0,33,2
2022-04-24,Japan,6,2,2,109,2
2022-04-24,Sweden,1,0,2,6,0
2022-04-25,Afghanistan,2,0,0,33,2
2022-04-25,Japan,6,2,2,109,2
2022-04-25,Sweden,1,0,2,6,0
2022-04-26,Afghanistan,2,0,0,33,2
2022-04-26,Japan,6,0,4,109,2
2022-04-26,Sweden,1,0,2,6,0
2022-04-27,Afghanistan,2,1,0,32,2
2022-04-27,Japan,6,2,2,107,4
2022-04-27,Sweden,1,0,2,6,0
2022-04-28,Afghanistan,2,2,0,31,2
2022-04-28,Japan,6,6,2,103,4
2022-04-28,Sweden,1,0,0,7,1
2022-04-29,Afghanistan,2,3,0,30,2
2022-04-29,Japan,6,11,2,98,4
2022-04-29,Sweden,1,0,0,7,1
2022-04-30,Afghanistan,2,5,0,28,2
2022-04-30,Japan,6,14,2,94,5
2022-04-30,Sweden,1,0,0,7,1
